QuestionIDwithQuestionyears,book_chapter,topics,QuestionText,OptionA,OptionB,OptionC,OptionD,answer,Marks,Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-22,B-2,儲存設備,當啟動某個人電腦時 ，它從ROM載人數據，並檢査所有主要部件是否正常運作。 在這過程中， ROM不應被RAM替代，這是因為,RAM的儲存容量較少 。,RAM是易失性的。,RAM的數據傳輸速率較低。,RAM是隨機存取的 。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-16,B-2,機器周期,考慮下列某指令在機器周期內的步驟： (1)執行指令 (2)把數據寫入記憶體 (3)將指令翻譯為操作碼和操作數 (4)從記憶體內提取指令 這些步驟的正確次序是什麼？,(3) -> (1) -> (2) -> (4),(3) -> (2) -> (4) -> (1),(4) -> (3) -> (1) -> (2),(4) -> (3) -> (2) -> (1),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-17,B-2,電腦硬件,某電腦是用來編輯視像。下列哪些規格對此電腦的表現有顯著影響？ (1)RAM 的大小 (2)USB 埠的數目 (3)CPU 時鐘頻率,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-18,B-2,記憶體階層,下列哪句關於 CPU 內寄存器的句子是正確的？,它們的存取數據傳輸速率高,它們的功能相同,它們用作輔助儲存器,它們的總儲存容量通常大過 1GB,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-18,B-2,儲存設備,為什麼在許多流動設備中普遍使用固態硬碟(SSD)而不使用硬碟？,SSD 的體積較小。,SSD 的儲存容量較小。,SSD 的數據存取速度較慢。,流動設備不支援硬碟。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-20,B-2,電腦硬件,"細看下列桌上電腦的配置：Intel® CoreTM i7 CPU, 16GB DDR4 RAM, 1TB SSD, 802.11ac Wi-Fi。從這些配置可獲得什麼資訊？ (1)顯示屏的可視尺寸 (2)無線網絡的最大數據傳輸速率 (3)啟動電腦時間",只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-22,B-2,機器周期,下列哪句關於 CPU 內提取－譯碼－執行周期是正確的？,在這周期中使用了寄存器。,這周期是一個循環程序。,這周期內指令的總數是取決於 CPU 的時鐘頻率。,這周期主要是用作執行算術和邏輯運算。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-8,B-3,應用軟件,小芬建立了一份 200 頁的報告。下列哪些文書處理的操作可減少所用的頁數？ (1) 更改文本的行距 (2) 更改文本的背景規則 (3) 增加頁首和頁尾的目錄 (4) 建立含超連結的目錄,只有 (1) 和 (3),只有 (1) 和 (4),只有 (2) 和 (3),只有 (3) 和 (4),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-13,B-3,演示軟件,下列哪項是製作自動放映演示時最不需要的？,範本,版面配置,投影片,索引,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-18,B-3,運作方式,下列哪個系統依賴網絡連接？,實時系統,單戶作業系統,成批工作處理系統,分布式處理系統,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-20,B-3,操作系統,下列哪些是典型電腦操作系統的主要網絡功能？ (1) 允許電腦之間的通訊。 (2) 控制一台電腦之間連接的網絡頻寬。 (3) 提供一些網絡安全措施，以保護電腦免被未經授權存取。,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-17,B-3,系統軟件,下列哪項關於驅動程式的描述是正確的？,讓操作系統能管理檔案。,讓操作系統能控制掃描器。,監視病毒偵測的狀況。,監視 RAM 的使用量。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-6,B-3,演示軟件,子添使用文字處理軟件中的「目錄」功能，如下所示。當插入一個新章節時，_______。,子添須輸入公式來計算頁碼,子添須在目錄內輸入章節名稱,頁碼將會自動更新,新章節會被插入為最後的一章,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-7,B-3,演示軟件,志偉在演示檔內加入複製旁白。下列哪句是正確的？ (1) 演示的檔案大小增加。 (2) 演示內的投影張數增加。 (3) 未能把視覺殘疾人附有旁白的投影片。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-10,B-3,應用軟件,志明打算利用物件連接與嵌入(OLE)把 X.jpg 和 Y.xlsx 的內容加入至 Z.docx 內。下列哪句關於物件連接與嵌入(OLE)的句子是正確的？,OLE 不能應用於 X 的檔案格式。,在志明行動前，X 的檔案大小總是小於 Z 的。,志明完成其行動後，Z 的檔案大小將會大於 Y 的。,改變 Y 內的數據可影響隨後 Z 的列印本。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-15,B-3,運作方式,下列哪項需要驅動程式？ (1) 編輯文字處理文件 (2) 連接一個新打印機 (3) 移除一個軟件包,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-16,B-3,運作方式,國華在客廳構了一個電腦系統，讓他的朋友家人及一起玩網上足球遊戲。這會涉及下列哪項處理模式？ (1) 網上互動處理 (2) 成批工作處理 (3) 實時處理,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-14,B-3,演示軟件,莉莉使用演示軟件建立了一個附有旁白而可自動執行的投影片放映，她將此投影片放映上載到她的網站供公眾人士觀看。下列哪項是莉莉在建立投影片放映時必須做的？,設定每張投影片的放映時間,在投影片內建立超連結,在投影片內建立動畫效果,在投影片內加插背景音樂,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-17,B-3,運作方式,某訂票系統包含了多個訂票櫃位，分布在市內不同地方·顧客可在其中一個訂票櫃位購買戲院門票。下列哪項最能描述此訂票系統？,實時系統,成批工件處理系統,分布式處理系統,並行式處理系統,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-19,B-3,操作系統,下列哪些是操作系統通常設有的功能？ (1)控制程序 (2)分配記憶體 (3)記錄網絡流量,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)·(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-3,B-3,應用軟件,下列哪些是在辦公室自動化軟件內採用物件連接與嵌人(OLE)的主要優點？ (1)在單一檔案內可包含來自不同應用程式的數據 (2)可維持同步更新來自不同應用程式的數據 (3)在相同資料夾內可儲存來自不同應用程式的數據,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-15,B-3,電腦軟件,下列哪項／些是系統軟件？ (1)試算表軟件 (2)操作系統 (3)驅動程式,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-19,B-3,系統軟件,操作系統的系統監察軟件通常會提供什麼資訊？ (1)現正執行處理的程序 (2)記憶體使用情況 (3)網絡流量,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-22,B-3,運作方式,銀行客戶可透過自動櫃員機(ATM)從戶口提取現金。下列哪個／些系統最能描述此項操作？ (1)互動系統 (2)實時系統 (3)成批工件處理系統,只有(2),只有(3),只有(1)和(2),只有(1)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-6,B-3,應用軟件,下列哪個組合適合用來表達故事分鏡圖？ (1)投影片放映 (2)多媒體文件 (3)資料庫檔案,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-17,B-3,操作系統,以下哪些是操作系統的基本功能？ (1)電郵管理 (2)記憶體管理 (3)輸入／輸出管理,只有(1)和(2),只有(2)和(3),只有(1)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-19,B-3,系統軟件,以下哪項可以幫助縮短存取硬碟內文件所需的時間？,冗餘磁碟陣組(RAID),虛擬私人網絡(VPN),驅動程式,磁碟重組軟件,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-21,C1-1,網絡硬件,以下是某校園的典型電腦網絡：X 和 Y 是什麼？,X: 交換器, Y: 網絡界面卡,X: 無線網絡接達點 (AP), Y: 網絡界面卡, Y: 無線網絡接達點 (AP),X: 交換器, Y: 路由器,,D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-22,C1-1,網絡架構,下列哪些是 LAN 勝於 WAN 的優點？ (1) 數據傳輸速率較高 (2) 網絡覆蓋較大 (3) 設置成本較低,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),B,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-24,C1-1,網絡連接,以專線而非寬頻用作網絡連接的優點是什麼？ (1) 連接更可靠 (2) 成本較低 (3) 頻寬有保證,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-19,C1-1,網絡服務,教師電腦通常會為桌上電腦提供什麼服務？ (1) 檔案共享 (2) 電郵 (3) 網頁瀏覽,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-20,C1-1,網絡硬件,為了讓所有桌上電腦可連接無線打印機，應執行以下哪項行動？,應把該 AP 安裝在交換器和教師電腦之間。,教師電腦應連接至開啟的無線打印機。,應以路由器取代交換器。,無線打印機應連接至 AP。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-27,C1-1,網絡硬件,網絡界面卡的主要功能是什麼？,找出傳送數據包的路徑。,確保透過網絡進行通訊。,提升通訊的保安水平。,安排與路由器通訊。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-25,C1-1,無線網絡,莉莉在她的辦公室可利用流動電話來控制家中建設 Wi-Fi 網絡的電器。這會涉及下列哪項？ (1) LAN (2) 互聯網 (3) 無線網絡接達點,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-26,C1-1,網絡硬件,李先生為他的辦公室內工作的員工租用網上檔案儲存服務，而不設立檔案伺服器。為什麼？,辦公室的互聯網連接的頻寬不足。,辦公室內無需額外技術人員。,在增加儲存容量時較有彈性。,D,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-28,C1-1,網絡架構,雖然學校操場上已安裝了一個有線網絡，但學校還是安裝了一個連接至此網絡的無線網路接達點。為什麼？ (1) 學生可在大堂上使用平板電腦。 (2) 網絡可每天 24 小時使用。 (3) 網絡連接的數據傳輸率較高。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-25,C1-1,無線上網,"香港特別行政區政府設立GovWiFi, 提供免費無線上網，市民可以選擇使用非加密連接或加密連接。 下列哪句是正確的？",市民只可在特定的地點上網。,市民不能透過非加密連接來接達網上銀行網站。,市民的裝置可透過加密連接來阻隔電腦病毒。,市民可透過GovWiFi優先預訂政府康樂設施。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-26,C1-1,網絡硬件,李先生在公司內建構網絡時考慮一些通訊連結，並比較其有效的數據傳輸速率。下列哪項比較是正確的？,Cat6 (雙扭線） ＜ 衞星 ＜ 光纖,衞星 < Cat6(雙扭線）＜ 光纖,Cat6 (雙扭線） ＜ 光纖 ＜ 衞星,衞星 ＜ 光纖 < Cat6(雙扭線）,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-23,C1-1,網絡硬件,下列哪項是學校電腦網絡內的交換器的主要功能？,促使電腦間的數據傳輸,防止未經授權存取,增加網絡頻寬,為用戶提供電郵服務,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-24,C1-1,無線網絡,下列哪項／些是建構無線網絡來取代有線網絡的優點？ (1)增加網絡速度 (2)加強網絡保安 (3)增加電腦的流動性,只有(1),只有(3),只有(1)和(2),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-16,C1-1,網絡硬件,連接＿＿＿＿＿＿＿應使用路由器。,兩個不同網絡,打印機和局部區域網絡,兩台電腦,電腦和伺服器,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-12,C1-2,IP位址,一個 IPv6 位址包括 8 組以冒號分隔的 4 位十六進制數字，如以下例子所示： 2001:08A8:2347:AFF0:1234:CC23:98D2:1A45 此 IP 編址可有多少個位址？,2^32,2^128,16^32,32^16,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-23,C1-2,URL,以下兩個 URL 均可用來接達同一個網站： ‘http://202.8.88.24’ 和 ‘http://www.hkedcity.net’ 下列哪項（些）關於這兩個 URL 的句子是正確的？ (1) DNS 伺服器可能把 ‘www.hkedcity.net’ 譯為 ‘202.8.88.24’。 (2) URL 必須包含 HTTP。 (3) 經 IP 位址接達的網頁較為安全。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-25,C1-2,網絡協定,瀏覽 https://www.gov.hk 時涉及下列哪項（些）協定？ (1) FTP (2) IP (3) DNS,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-26,C1-2,IP位址,下列哪項（些）可用來識別互聯網上的主機？ (1) 電郵地址 (2) IP 位址 (3) 電腦名稱,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-27,C1-2,網絡協定,下列哪項關於 HTTP 是正確的？ (1) 它是用來傳送超文本文檔。 (2) 它可根據 URL 為 IP 位址。 (3) 它是用來儲存瀏覽歷史。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-26,C1-2,網域名稱系統 (DNS),"志明打算為他的新公司設立一個網站，使顧客可經下列任何一個連結接達網站：web.goodcompany.hk, www.goodcompany.hk, www.goodcompany.com.hk, goodcompany.com, www.goodcompany.com。他需要註冊多少個域名？",1,2,3,4,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-14,C1-2,電郵協定,下列哪句關於郵件合併是正確的？,每次郵件合併時只可附加一個檔案。,郵件合併只適用於發送電郵。,主將數據源和浮動數據源合併。,郵件合併通常涉及演示軟件。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-25,C1-2,URL,下圖是 www.abc.edu.hk 的部分文件夾結構：(圖中顯示了目錄樹)。下列哪個 URL 是無效的？,http://www.abc.edu.hk/chi/p1.jpg,http://www.abc.edu.hk/info/p1.jpg,http://www.abc.edu.hk/eng/p1.jpg,http://www.abc.edu.hk/index.html,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-26,C1-2,網絡協定,下列哪項不是電郵協定？,IMAP,SMTP,POP,FTP,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-27,C1-2,網域名稱系統 (DNS),芝芝可藉 ABC 學校網站的 IP 位址瀏覽該網站，但不能以它的 URL 瀏覽。原因可能是什麼？,還未上載相關網頁至該網頁伺服器內。,該網域名稱系統(DNS)伺服器暫時停止服務。,所使用的瀏覽器不是最新版本。,所使用的瀏覽器的一些插件還未安裝。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-26,C1-3,網上服務,以下哪項活動會經互聯網傳輸最少數據？,向 50 位收件人寄出一個附有 2 MB 聲音檔案的 10 KB 電郵。,利用網上工具上載及轉換 10 MB 圖像為 JPG 格式。,更新 10 KB 網頁，內含超連結到一個 5 GB 的檔案。,利用串流技術網上觀看 500 MB 的 60 分鐘視像。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-27,C1-3,串流傳輸,下列哪項（些）關於串流技術的句子是正確的？ (1) 可以觀看音樂會表演直播。 (2) 不能使用 HTTP。 (3) 網上非法發放電影可受控制。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-23,C1-3,網上服務,下列哪項對提升學生的資訊素養最不適合？,網上觀看關於海洋的紀錄片。,在網上論壇搜尋誇張軟件的安裝密碼。,閱讀學校校內發布的學校通訊。,經互聯網尋找電腦的歷史。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-24,C1-3,網上服務,下列哪項（些）可改善視像會議的質素？ (1) 較高解像度的攝影機 (2) 較大的儲存容量 (3) 較高的網絡頻寬,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-23,C1-3,物聯網,物聯網(IoT)是指由設備組成的網絡，這些設備可收集及交換數據，而這些網絡通常連接至互聯網。 這些設備應通常設有下列哪項？,IP位址,運算能力高的CPU,DNS,大儲存容量,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-24,C1-3,串流傳輸,志明在家中觀看使用串流傳輸的網上廣播視像，他覺得該視像播放不流暢。下列哪些是可能的成因？ (1)視像的播放長度 (2)接達互聯網的方法 (3)互聯網連接的頻寬,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-20,C1-3,網上服務,下列哪項／些是由 GovHK 提供的政府電子化服務？ (1)登記參加社區康樂體育活動 (2)申請入讀香港的大學 (3)續借公共圖書館書籍,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-15,C1-3,網上服務,如「維基百科」，免費網上百科全書含有大量文章。下列哪句關於這些網上百科全書的句子是正確的？ (1)人們可以快速搜尋帶來主題的相關文章 (2)這些文章沒有版權 (3)這些百科全書會經常更新,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-28,C1-3,串流傳輸,觀賞採用串流技術的網站內的視像，與下列哪些項目有關？ (1) DNS (2) FTP (3) IP,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-25,C2-4,HTML,在 HTML 中，下列哪些是表 (<TABLE>) 的屬性？ (1) 儲存格內容的 URL (2) 儲存格之間的間距 (3) 儲存格內容的媒體類型 (4) 背景顏色,只有 (1) 和 (3),只有 (1) 和 (4),只有 (2) 和 (3),只有 (2) 和 (4),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-24,C2-4,網頁界面設計,某超級市場將會提供一個網上平台，讓顧客購買食物。當設計其用戶界面時，應考慮下列哪項？ (1) 字型大小 (2) 顏色 (3) 語言,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),D,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-28,C2-4,HTML,在網頁中加插表格時，下列哪項不是表格設定？,儲存格的數量,儲存格內的公式,儲存格的色彩,表格的闊度,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-27,C2-4,網頁界面設計,某公司的網頁顯示其在中國的八間分公司，如下展示：中國分公司：香港、上海、北京、深圳、重慶、天津、廈門、澳門 (在一個可滾動的列表中)。下列哪些修改可讓用戶毋須使用右邊捲軸便可清楚地看見所有分公司？ (1)縮小字體大小 (2)減少字符間距 (3)使用有多欄的表格,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-28,C2-4,HTML,某網頁顯示了一些圖像。除了圖像檔的名稱外，在此網頁的 HTML 編碼內將包含了其他什麼資料？ (1)圖像檔的路徑 (2)圖像的背景大小 (3)儲存此 HTML 檔的伺服器的 IP 位址,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-10,C2-4,超連結,莉莉在一個文件檔內插入一個超連結，使用此超連結可能會 有什麼後果？ (1)開啟一個視像檔 (2)跳至此文件的另一頁 (3)跳至另一個文件的某一頁,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-29,C2-4,網頁界面設計,細看下列網頁：(顯示一個水果列表)。下列哪項（些）可以更便於導航？ (1)表單 (2)框 (3)背景音樂,只有(2),只有(3),只有(1)和(2),只有(1)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-35,C2-5,網絡安全風險,ABC 咖啡店為顧客提供免費 WIFI，詳情如下：顧客不應使用此 WIFI 連接進行網上銀行服務，原因是因為,免費時段太短。,SSID 太短而易於被猜到。,透過此連接傳輸的數據沒有加密。,最高頻寬是太低。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-1A-38,C2-5,惡意軟件,李小姐發現公司的檔案伺服器被勒索軟件感染。一些重要文件檔案均已被加密而無法開啟，她應如何處理？ (1) 嘗試把加密檔案複製於另一個檔案伺服器內部開啟。 (2) 就此事件向警方報案。 (3) 交付贖金以取得密碼。,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-39,C2-5,惡意軟件,志明由朋友傳送的超連結安裝一個新遊戲時，有一個對話框彈出如下：「X 已阻攔此程式的一部分功能。容許此程式接達你的私人網絡？」對話框內的 X 是什麼？,防火牆,惡意軟件,檔案管理應用程式,裝置管理應用程式,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-35,C2-5,網絡安全風險,下列哪些會有保安風險？ (1)利用咖啡店內的公共電腦登入網上銀行 (2)使用商場提供的 Wi-Fi 網絡查閱電郵 (3)利用公共電腦檢查網頁的電子證書,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-38,C2-5,惡意軟件,勒索軟件是惡意軟件，它將受害人的電腦檔案加密，然後要求贖款來還原這些檔案。如何可減低受到勒索軟件的影響？ (1)定期建立電腦檔案備份 (2)不要開啟不知名的或仿冒詐騙的電子郵件 (3)不要透過 p2p 軟件下載盜版軟件,只有(1)和(2),只有(1)和(3),只有(2)和(3),(1)、(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-24,C2-5,遠程登入,莉莉在家中登入其公司內的電腦，並進行一些文字處理工作。以下哪句關於此遠程登入是正確的？,兩部電腦均須設有相同的文字處理軟件。,兩部電腦均須設有相同的防火牆。,此遠程登入支援數據加密。,由於涉及兩部電腦，因此在執行文字處理時速度較快。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-28,C2-6,認證方法,當小芬登入一網站時，她會從手提電話接收到 SMS 短訊，內含一個密碼。此 SMS 短訊是關於什麼？,密碼檢測,數碼水印,數碼簽署,單次密碼,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-1A-36,C2-6,網絡保安措施,在電腦網絡中，下列哪項（些）可保障個人私隱免被黑客攻擊？ (1) 建立數據備份 (2) 更新操作系統 (3) 安裝防火牆,只有 (1) 和 (2),只有 (1) 和 (3),只有 (2) 和 (3),(1) (2) 和 (3),C,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-22,C2-6,網絡保安措施,下列哪項在連接兩個 LAN 時是常用的？,防火牆,寬頻數據機,路由器,抗病毒軟件,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-40,C2-6,認證方法,下列哪項是在網上系統中驗證用戶身份的常見措施？ (1) DNS (2) 保安權標 (3) 防火牆,只有 (1),只有 (2),只有 (1) 和 (3),只有 (2) 和 (3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-34,C2-6,認證方法,某銀行設有保安室，只有很少員工能夠進入。下列哪項保安措施是最安全的接達控制？,密碼,智能卡,指紋,鎖匙,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-1-34,C2-6,網絡保安措施,下列哪項／些是為網上銀行鑒定客戶身分的保安措施？ (1)抗電腦病毒軟件 (2)保安權標 (3)數碼水印,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-37,C2-6,網絡保安措施,在互聯網上，為什麼我們需要保密插口層(SSL)？,IP 位址最少包含了四個數值。,可保護電源插口。,數據傳輸速度可更快。,可安全地傳輸數據。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-38,C2-6,資料加密技術,在通過互聯網傳輸機密資料時，使用數據加密的主要好處是什麼？ (1)黑客不能輕易收集加密數據 (2)黑客不能輕易讀取機密資料 (3)黑客不能輕易刪除機密資料,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-1-40,C2-6,認證方法,在電腦系統的認證中，使用指紋比較使用密碼有何好處？ (1)一般來說，輸入時間較短。 (2)系統開發的成本更低。 (3)用潔淨手指可減少錯誤。,只有(1),只有(2),只有(1)和(3),只有(2)和(3),2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-1A-12,D1-1,問題建構和分析,下圖顯示了「輸入—處理—輸出」周期的基本概念。X 和 Y 是什麼？,X: 統一碼 Y: 二進制數字,X: 互聯網 Y: 網路設備,X: 程式 Y: 儲存器,X: 數據 Y: 查詢,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-1-33,D1-1,問題建構和分析,"細閱以下輸人－處理－輸出(IPO)周期所展示的問題。下列哪句是不正確的？ (展示了一個包含輸入N1, N2, N3，處理AVE = (N1 + N2 + N3) / 3，輸出AVE的IPO圖)",此IPO周期展示了數據類型及數據結構。,所展示的問題是找出三個數值的平均數。,此IPO周期展示該問題的一個解決方法。,在「處理」內所顯示的流程圖的控制結構是序列的 。,2,MC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
